"Station","Year","Month","Temp"
"S27",2000,11,6.184428571
"HL2",2004,3,-1.1552
"HL2",2000,2,1.524
"S27",2005,9,12.681
"HL2",2005,6,6.2084
"S27",2003,8,11.737
"HL2",2006,8,12.779
"HL2",2003,4,0.4106
"S27",2005,4,0.159
"HL2",2001,6,6.9664
"S27",2001,3,-1.551
"HL2",2003,11,10.22
"S27",2003,2,-0.46775
"HL2",2002,4,2.6446
"S27",2007,5,1.398
"HL2",2004,8,15.048
"S27",2001,8,11.95266667
"HL2",2000,10,12.4824
"HL2",1999,10,12.18
"S27",2004,4,0.5462
"HL2",2007,9,13.63036961
"HL2",2004,10,12.9574
"HL2",2000,3,0.7878
"S27",2004,6,5.665
"S27",2003,9,11.7482
"S27",2006,12,4.063
"S27",2007,10,8.186
"HL2",2000,8,16.472
"S27",2002,5,0.5282
"HL2",2002,2,0.635661961
"S27",2007,9,10.308
"S27",2003,11,5.6182
"HL2",2000,4,3.3944
"HL2",2006,1,3.1428
"HL2",2002,6,7.5266
"HL2",2006,9,15.31968214
"HL2",2001,11,10.7952
"S27",2000,5,2.119285714
"HL2",2001,5,3.79152
"S27",2000,1,0.14
"S27",2002,12,2.392
"S27",2001,11,5.784833333
"HL2",2004,7,12.1256
"S27",2001,4,-0.9258
"HL2",2002,9,14.4676
"S27",2004,7,8.0795
"S27",2000,3,-0.8735
"S27",2005,1,1.395
"HL2",2001,4,1.2808
"S27",2006,11,6.5622
"S27",2000,4,0.298285714
"S27",2006,5,1.473757576
"S27",2003,5,1.4022
"HL2",2005,11,9.389108235
"HL2",2005,7,9.688666667
"S27",2004,2,-0.46775
"HL2",2000,1,3.5756
"S27",2002,2,-1.44
"S27",2002,11,3.5726
"HL2",2007,5,3.070693137
"HL2",2006,10,14.982
"HL2",2002,1,2.9848
"HL2",2003,7,7.5364
"S27",2002,10,7.943
"S27",2007,6,3.5065
"S27",2003,7,9.731
"HL2",2005,9,15.31968214
"HL2",2006,4,2.3046
"HL2",1999,9,15.31968214
"HL2",2003,1,2.926045098
"HL2",2000,11,9.389108235
"S27",2002,4,-0.718666667
"S27",2007,7,6.685
"S27",2005,11,6.265
"HL2",2000,12,5.523567787
"HL2",2005,2,0.5356
"HL2",2003,9,14.4108
"S27",2002,3,-1.014666667
"S27",2001,1,0.671
"S27",2001,5,0.5795
"S27",2001,7,8.274666667
"HL2",2002,3,0.7307
"S27",2007,3,-1.2645
"HL2",2004,4,1.2296
"HL2",2005,10,14.41186667
"S27",2001,10,11.3322
"S27",2006,3,-1.014666667
"HL2",2005,8,11.6364
"HL2",1999,4,0.809333333
"S27",2007,2,-0.46775
"S27",2007,1,1.013625
"HL2",1999,12,7.1617
"S27",2006,9,13.179
"S27",2002,8,10.83752632
"S27",2004,10,10.2905
"S27",2003,1,1.013625
"HL2",1999,1,2.3976
"S27",2007,12,3.813571429
"S27",2005,8,10.8794
"S27",2004,11,5.5435
"HL2",2003,2,1.0008
"HL2",2002,5,4.0168
"S27",2000,12,3.521
"HL2",2006,3,0.472533333
"S27",2000,8,10.6075
"HL2",2005,1,2.926045098
"S27",2000,9,13.188
"HL2",2000,5,5.485066667
"HL2",2003,5,4.1796
"S27",2004,5,1.7582
"HL2",2006,12,5.6508
"HL2",2004,9,15.0276
"S27",2002,9,11.982
"HL2",2007,4,0.079420261
"S27",2004,9,12.311
"HL2",2007,1,3.882715686
"S27",2004,8,10.551
"HL2",2006,6,8.069185383
"S27",2006,1,1.626
"S27",2003,4,-0.635666667
"S27",2002,7,7.6888
"HL2",2005,5,3.6324
"S27",2002,1,0.73
"HL2",2001,3,0.2142
"HL2",1999,7,11.4128
"HL2",2002,8,13.3172
"HL2",2005,12,5.523567787
"S27",2005,5,2.0484
"HL2",2004,2,-0.1192
"S27",2001,6,4.278285714
"HL2",2007,3,0.907771569
"S27",2004,3,-0.261
"HL2",2000,6,9.660266667
"HL2",2002,12,4.774
"HL2",2007,2,-0.032980392
"HL2",1999,6,8.80575
"HL2",2004,12,4.4512
"HL2",2000,7,13.5186
"S27",2005,12,4.2185
"S27",2003,6,5.251666667
"S27",2005,10,9.25
"HL2",2006,5,5.6992
"S27",2003,3,-1.014666667
"S27",2005,7,9.078
"S27",2003,10,9.4535
"HL2",2004,5,3.691263158
"HL2",2004,1,2.08
"HL2",1999,11,8.9012
"HL2",2001,10,13.07053333
"S27",2004,1,0.526
"S27",2006,2,0.585
"S27",2006,4,0.815666667
"HL2",2002,11,8.9704
"HL2",2006,2,1.6336
"HL2",2003,8,11.6924
"S27",2007,8,8.958333333
"S27",2000,6,5.107
"HL2",2006,11,8.9456
"S27",2005,2,-0.257666667
"S27",2001,9,11.604
"HL2",2003,10,12.5584
"S27",2007,11,5.649542857
"S27",2006,6,4.973
"HL2",2007,6,7.732339216
"HL2",1999,8,15.772
"HL2",2001,2,-0.05
"HL2",1999,2,0.9574
"S27",2004,12,3.866333333
"HL2",1999,3,1.7928
"S27",2000,7,7.778
"HL2",2002,10,13.3757
"HL2",2003,3,-1.284933333
"HL2",2007,12,5.03557451
"HL2",2000,9,14.066
"S27",2001,12,5.371
"HL2",2007,7,11.45507059
"HL2",2001,7,7.8968
"S27",2006,7,9.5865
"S27",2003,12,3.923
"HL2",2005,3,0.1894
"HL2",2007,10,13.51150491
"S27",2002,6,5.2275
"S27",2005,3,-1.014666667
"HL2",2007,11,9.963482353
